E4B880 一
E58F81 叁
E58F82 参
E58F88 又
E58F89 叉
E58F8A 及
E58F8B 友
E58F8C 双
E58F8D 反
E58F91 发
E58F94 叔
E58F96 取
E58F97 受
E58F98 变
E58F99 叙
E58F9B 叛
E58FA0 叠
E58FA3 口
E58FA4 古
E58FA5 句
E58FA6 另
E58FA8 叨
E58FAA 只
E58FAB 叫
E58FAC 召
E58FAD 叭
E58FAE 叮
E58FAF 可
E58FB0 台
E58FB2 史
E58FB3 右
E58FB6 叶
E58FB7 号
E58FB8 司
E58FB9 叹
E58FBC 叼
E58FBD 叽
E59081 吁
E59083 吃
E59084 各
E59086 吆
E59088 合
E59089 吉
E5908A 吊
E5908C 同
E5908D 名
E5908E 后
E5908F 吏
E59090 吐
E59091 向
E59093 吓
E59095 吕
E59097 吗
E5909B 君
E5909D 吝
E5909E 吞
E5909F 吟
E590A0 吠
E590A6 否
E590A7 吧
E590A8 吨
E590A9 吩
E590AB 含
E590AC 听
E590AD 吭
E590AE 吮
E590AF 启
E590B1 吱
E590B4 吴
E590B5 吵
E590B8 吸
E590B9 吹
E590BB 吻
E590BC 吼
E590BE 吾
E59180 呀
E59186 呆
E59188 呈
E5918A 告
E59190 呐
E59195 呕
E59198 员
E5919B 呛
E5919C 呜
E591A2 呢
E591A8 周
E591B3 味
E591B5 呵
E591B8 呸
E591BB 呻
E591BC 呼
E591BD 命
E59280 咀
E59286 咆
E5928B 咋
E5928C 和
E5928E 咎
E5928F 咏
E59290 咐
E59292 咒
E59295 咕
E59296 咖
E59299 咙
E592A7 咧
E592A8 咨
E592AA 咪
E592AC 咬
E592AF 咯
E592B1 咱
E592B3 咳
E592B8 咸
E592BD 咽
E59380 哀
E59381 品
E59384 哄
E59386 哆
E59387 哇
E59388 哈
E59389 哉
E5938D 响
E5938E 哎
E59391 哑
E59397 哗
E5939F 哟
E593A5 哥
E593A6 哦
E593A8 哨
E593A9 哩
E593AA 哪
E593AD 哭
E593AE 哮
E593B2 哲
E593BA 哺
E593BC 哼
E59481 唁
E59486 唆
E59487 唇
E59489 唉
E59490 唐
E594A0 唠
E594A4 唤
E594A7 唧
E594AC 唬
E594AE 售
E594AF 唯
E594B1 唱
E594BE 唾
E59583 啃
E59584 啄
E59586 商
E5958A 啊
E595A1 啡
E595A4 啤
E595A5 啥
E595A6 啦
E595AA 啪
E595AE 啮
E595B0 啰
E595B8 啸
E595BC 啼
E59680 喀
E59682 喂
E59684 善
E59687 喇
E59689 喉
E5968A 喊
E59698 喘
E5969C 喜
E5969D 喝
E596A7 喧
E596B3 喳
E596B7 喷
E596BB 喻
E59785 嗅
E59793 嗓
E5979C 嗜
E597A1 嗡
E597A3 嗣
E597A4 嗤
E597A6 嗦
E597BD 嗽
E59880 嘀
E59881 嘁
E59889 嘉
E5988E 嘎
E59898 嘘
E5989B 嘛
E598B1 嘱
E598B2 嘲
E598B4 嘴
E598B6 嘶
E598B9 嘹
E598BB 嘻
E598BF 嘿
E5998E 噎
E599A8 器
E599A9 噩
E599AA 噪
E599AC 噬
E599B6 噶
E59A8E 嚎
E59A8F 嚏
E59AA3 嚣
E59AB7 嚷
E59ABC 嚼
E59B8A 囊
E59B9A 囚
E59B9B 四
E59B9E 回
E59BA0 因
E59BA2 团
E59BA4 囤
E59BAD 园
E59BB0 困
E59BB1 囱
E59BB4 围
E59BBA 固
E59BBD 国
E59BBE 图
E59C83 圃
E59C86 圆
E59C88 圈
E59C9F 土
E59CA3 圣
E59CA8 在
E59CAD 圭
E59CB0 地
E59CBA 场
E59CBE 圾
E59D80 址
E59D87 均
E59D8A 坊
E59D8D 坍
E59D8E 坎
E59D8F 坏
E59D90 坐
E59D91 坑
E59D97 块
E59D9A 坚
E59D9B 坛
E59D9D 坝
E59D9E 坞
E59D9F 坟
E59DA0 坠
E59DA1 坡
E59DA4 坤
E59DA6 坦
E59DAA 坪
E59DAF 坯
E59DB7 坷
E59E82 垂
E59E83 垃
E59E84 垄
E59E8B 型
E59E92 垒
E59E9B 垛
E59EA2 垢
E59EA3 垣
E59EA6 垦
E59EAB 垫
E59EAE 垮
E59F82 埂
E59F83 埃
E59F8B 埋
E59F8E 城
E59F94 埔
E59F9F 域
E59FA0 埠
E59FB9 培
E59FBA 基
E5A082 堂
E5A086 堆
E5A091 堑
E5A095 堕
E5A0A1 堡
E5A0A4 堤
E5A0AA 堪
E5A0B0 堰
E5A0B5 堵
E5A18C 塌
E5A191 塑
E5A194 塔
E5A198 塘
E5A19E 塞
E5A1AB 填
E5A283 境
E5A285 墅
E5A292 墒
E5A293 墓
E5A299 墙
E5A29E 增
E5A29F 墟
E5A2A8 墨
E5A2A9 墩
E5A381 壁
E5A395 壕
E5A3A4 壤
E5A3AB 士
E5A3AC 壬
E5A3AE 壮
E5A3B0 声
E5A3B3 壳
E5A3B6 壶
E5A3B9 壹
E5A484 处
E5A487 备
E5A48D 复
E5A48F 夏
E5A495 夕
E5A496 外
E5A49A 多
E5A49C 夜
E5A49F 够
E5A4A7 大
E5A4A9 天
E5A4AA 太
E5A4AB 夫
E5A4AD 夭
E5A4AE 央
E5A4AF 夯
E5A4B1 失
E5A4B4 头
E5A4B7 夷
E5A4B8 夸
E5A4B9 夹
E5A4BA 夺
E5A584 奄
E5A587 奇
E5A588 奈
E5A589 奉
E5A58B 奋
E5A58E 奎
E5A58F 奏
E5A591 契
E5A594 奔
E5A595 奕
E5A596 奖
E5A597 套
E5A5A0 奠
E5A5A2 奢
E5A5A5 奥
E5A5B3 女
E5A5B4 奴
E5A5B6 奶
E5A5B8 奸
E5A5B9 她
E5A5BD 好
E5A682 如
E5A684 妄
E5A686 妆
E5A687 妇
E5A688 妈
E5A68A 妊
E5A692 妒
E5A693 妓
E5A696 妖
E5A699 妙
E5A6A5 妥
E5A6A8 妨
E5A6AE 妮
E5A6B9 妹
E5A6BB 妻
E5A786 姆
E5A78A 姊
E5A78B 始
E5A790 姐
E5A791 姑
E5A793 姓
E5A794 委
E5A79A 姚
E5A79C 姜
E5A7A5 姥
E5A7A8 姨
E5A7AC 姬
E5A7BB 姻
E5A7BF 姿
E5A881 威
E5A883 娃
E5A884 娄
E5A887 娇
E5A898 娘
E5A89C 娜
E5A89F 娟
E5A8A0 娠
E5A8A5 娥
E5A8A9 娩
E5A8B1 娱
E5A8B6 娶
E5A986 婆
E5A989 婉
E5A99A 婚
E5A9AA 婪
E5A9B4 婴
E5A9B6 婶
E5A9BF 婿
E5AA92 媒
E5AA9A 媚
E5AAB3 媳
E5AB81 嫁
E5AB82 嫂
E5AB89 嫉
E5AB8C 嫌
E5ABA1 嫡
E5ABA9 嫩
E5AC89 嬉
E5AD90 子
E5AD94 孔
E5AD95 孕
E5AD97 字
E5AD98 存
E5AD99 孙
E5AD9C 孜
E5AD9D 孝
E5AD9F 孟
E5ADA3 季
E5ADA4 孤
E5ADA6 学
E5ADA9 孩
E5ADAA 孪
E5ADB0 孰
E5ADB5 孵
E5ADBA 孺
E5ADBD 孽
E5AE81 宁
E5AE83 它
E5AE85 宅
E5AE87 宇
E5AE88 守
E5AE89 安
E5AE8B 宋
E5AE8C 完
E5AE8F 宏
E5AE97 宗
E5AE98 官
E5AE99 宙
E5AE9A 定
E5AE9B 宛
E5AE9C 宜
E5AE9D 宝
E5AE9E 实
E5AEA0 宠
E5AEA1 审
E5AEA2 客
E5AEA3 宣
E5AEA4 室
E5AEA6 宦
E5AEAA 宪
E5AEAB 宫
E5AEB0 宰
E5AEB3 害
E5AEB4 宴
E5AEB5 宵
E5AEB6 家
E5AEB9 容
E5AEBD 宽
E5AEBE 宾
E5AEBF 宿
E5AF82 寂
E5AF84 寄
E5AF85 寅
E5AF86 密
E5AF87 寇
E5AF8C 富
E5AF90 寐
E5AF92 寒
E5AF93 寓
E5AF9D 寝
E5AF9E 寞
E5AF9F 察
E5AFA1 寡
E5AFA5 寥
E5AFA8 寨
E5AFB8 寸
E5AFB9 对
E5AFBA 寺
E5AFBB 寻
E5AFBC 导
E5AFBF 寿
E5B081 封
E5B084 射
E5B086 将
E5B089 尉
E5B08A 尊
E5B08F 小
E5B091 少
E5B094 尔
E5B096 尖
E5B098 尘
E5B09A 尚
E5B09D 尝
E5B0A4 尤
E5B0A7 尧
E5B0B1 就
E5B0B8 尸
E5B0B9 尹
E5B0BA 尺
E5B0BC 尼
E5B0BD 尽
E5B0BE 尾
E5B0BF 尿
E5B180 局
E5B181 屁
E5B182 层
E5B185 居
E5B188 屈
E5B189 屉
E5B18A 届
E5B18B 屋
E5B18E 屎
E5B18F 屏
E5B191 屑
E5B195 展
E5B19E 属
E5B1A0 屠
E5B1A1 屡
E5B1A5 履
E5B1AF 屯
E5B1B1 山
E5B1B9 屹
E5B1BF 屿
E5B281 岁
E5B282 岂
E5B294 岔
E5B296 岖
E5B297 岗
E5B29B 岛
E5B2A9 岩
E5B2AD 岭
E5B2B3 岳
E5B2B8 岸
E5B2BF 岿
E5B399 峙
E5B3A1 峡
E5B3A6 峦
E5B3A8 峨
E5B3AA 峪
E5B3AD 峭
E5B3B0 峰
E5B3BB 峻
E5B487 崇
E5B48E 崎
E5B494 崔
E5B496 崖
E5B4A9 崩
E5B4AD 崭
E5B58C 嵌
E5B78D 巍
E5B79D 川
E5B79E 州
E5B7A1 巡
E5B7A2 巢
E5B7A5 工
E5B7A6 左
E5B7A7 巧
E5B7A8 巨
E5B7A9 巩
E5B7AB 巫
E5B7AE 差
E5B7B1 己
E5B7B2 已
E5B7B3 巳
E5B7B4 巴
E5B7B7 巷
E5B7BE 巾
E5B881 币
E5B882 市
E5B883 布
E5B885 帅
E5B886 帆
E5B888 师
E5B88C 希
E5B890 帐
E5B895 帕
E5B896 帖
E5B898 帘
E5B89A 帚
E5B89B 帛
E5B89C 帜
E5B89D 帝
E5B8A6 带
E5B8A7 帧
E5B8AD 席
E5B8AE 帮
E5B8B8 常
E5B8BD 帽
E5B982 幂
E5B985 幅
E5B98C 幌
E5B994 幔
E5B995 幕
E5B9A2 幢
E5B9B2 干
E5B9B3 平
E5B9B4 年
E5B9B6 并
E5B9B8 幸
E5B9BB 幻
E5B9BC 幼
E5B9BD 幽
E5B9BF 广
E5BA84 庄
E5BA86 庆
E5BA87 庇
E5BA8A 床
E5BA8F 序
E5BA90 庐
E5BA93 库
E5BA94 应
E5BA95 底
E5BA97 店
E5BA99 庙
E5BA9A 庚
E5BA9C 府
E5BA9E 庞
E5BA9F 废
E5BAA6 度
E5BAA7 座
E5BAAD 庭
E5BAB5 庵
E5BAB6 庶
E5BAB7 康
E5BAB8 庸
E5BB89 廉
E5BB8A 廊
E5BB93 廓
E5BB96 廖
E5BBB6 延
E5BBB7 廷
E5BBBA 建
E5BC80 开
E5BC82 异
E5BC83 弃
E5BC84 弄
E5BC8A 弊
E5BC8F 式
E5BC93 弓
E5BC95 引
E5BC97 弗
E5BC98 弘
E5BC9B 弛
E5BC9F 弟
E5BCA0 张
E5BCA5 弥
E5BCA6 弦
E5BCA7 弧
E5BCAF 弯
E5BCB1 弱
E5BCB9 弹
E5BCBA 强
E5BD92 归
E5BD93 当
E5BD95 录
E5BD9D 彝
E5BDA2 形
E5BDA4 彤
E5BDA6 彦
E5BDA9 彩
E5BDAA 彪
E5BDAC 彬
E5BDAD 彭
E5BDB0 彰
E5BDB1 影
E5BDB9 役
E5BDBB 彻
E5BDBC 彼
E5BE80 往
E5BE81 征
E5BE84 径
E5BE85 待
E5BE88 很
E5BE8A 徊
E5BE8B 律
E5BE90 徐
E5BE92 徒
E5BE97 得
E5BE98 徘
E5BE99 徙
E5BEA1 御
E5BEAA 循
E5BEAE 微
E5BEB7 德
E5BEBD 徽
E5BF83 心
E5BF85 必
E5BF86 忆
E5BF8C 忌
E5BF8D 忍
E5BF97 志
E5BF98 忘
E5BF99 忙
E5BFA0 忠
E5BFA7 忧
E5BFAB 快
E5BFB1 忱
E5BFB5 念
E5BFBB 忻
E5BFBD 忽
E5BFBF 忿
E68080 怀
E68081 态
E68082 怂
E6808E 怎
E68092 怒
E68094 怔
E68095 怕
E68096 怖
E6809C 怜
E6809D 思
E680A0 怠
E680A5 急
E680A7 性
E680A8 怨
E680AA 怪
E680AF 怯
E680BB 总
E68183 恃
E6818B 恋
E6818D 恍
E68190 恐
E68192 恒
E68195 恕
E681A2 恢
E681A4 恤
E681A8 恨
E681A9 恩
E681AB 恫
E681AC 恬
E681AD 恭
E681AF 息
E681B0 恰
E681B3 恳
E681B6 恶
E681BC 恼
E681BF 恿
E68284 悄
E68289 悉
E6828D 悍
E68294 悔
E6829F 悟
E682A0 悠
E682A3 患
E682A6 悦
E682A8 您
E682AC 悬
E682AF 悯
E682B2 悲
E682B4 悴
E682B8 悸
E682BC 悼
E68385 情
E6838A 惊
E6838B 惋
E68391 惑
E68395 惕
E6839C 惜
E6839F 惟
E683A0 惠
E683A6 惦
E683A7 惧
E683A8 惨
E683A9 惩
E683AB 惫
E683AD 惭
E683AE 惮
E683AF 惯
E683B0 惰
E683B3 想
E683B6 惶
E683B9 惹
E683BA 惺
E68481 愁
E68488 愈
E68489 愉
E6848F 意
E68495 愕
E6849A 愚
E6849F 感
E684A4 愤
E684A7 愧
E684BF 愿
E68588 慈
E6858C 慌
E6858E 慎
E68591 慑
E68595 慕
E685A2 慢
E685A7 慧
E685A8 慨
E685B0 慰
E685B7 慷
E6868B 憋
E6868E 憎
E68694 憔
E686A8 憨
E686BE 憾
E68782 懂
E68788 懈
E6878A 懊
E68792 懒
E687A6 懦
E68888 戈
E6888A 戊
E6888C 戌
E6888D 戍
E6888E 戎
E6888F 戏
E68890 成
E68891 我
E68892 戒
E68896 或
E68898 战
E6889A 戚
E688AA 截
E688AE 戮
E688B3 戳
E688B4 戴
E688B7 户
E688BF 房
E68980 所
E68981 扁
E68987 扇
E6898B 手
E6898D 才
E6898E 扎
E68991 扑
E68992 扒
E68993 打
E68994 扔
E68998 托
E6899B 扛
E689A3 扣
E689A6 扦
E689A7 执
E689A9 扩
E689AB 扫
E689AC 扬
E689AD 扭
E689AE 扮
E689AF 扯
E689B0 扰
E689B3 扳
E689B6 扶
E689B9 批
E689BC 扼
E689BE 找
E689BF 承
E68A80 技
E68A84 抄
E68A89 抉
E68A8A 把
E68A91 抑
E68A92 抒
E68A93 抓
E68A95 投
E68A96 抖
E68A97 抗
E68A98 折
E68A9A 抚
E68A9B 抛
E68AA0 抠
E68AA1 抡
E68AA2 抢
E68AA4 护
E68AA5 报
E68AA8 抨
E68AAB 披
E68AAC 抬
E68AB1 抱
E68AB5 抵
E68AB9 抹
E68ABC 押
E68ABD 抽
E68ABF 抿
E68B82 拂
E68B84 拄
E68B85 担
E68B86 拆
E68B87 拇
E68B88 拈
E68B89 拉
E68B8C 拌
E68B8D 拍
E68B8E 拎
E68B90 拐
E68B92 拒
E68B93 拓
E68B94 拔
E68B96 拖
E68B97 拗
E68B98 拘
E68B99 拙
E68B9B 招
E68B9C 拜
E68B9F 拟
E68BA2 拢
E68BA3 拣
E68BA5 拥
E68BA6 拦
E68BA7 拧
E68BA8 拨
E68BA9 择
E68BAC 括
E68BAD 拭
E68BAF 拯
E68BB1 拱
E68BB3 拳
E68BB4 拴
E68BB7 拷
E68BBC 拼
E68BBD 拽
E68BBE 拾
E68BBF 拿
E68C81 持
E68C82 挂
E68C87 指
E68C89 按
E68C8E 挎
E68C91 挑
E68C96 挖
E68C9A 挚
E68C9B 挛
E68C9D 挝
E68C9E 挞
E68C9F 挟
E68CA0 挠
E68CA1 挡
E68CA3 挣
E68CA4 挤
E68CA5 挥
E68CA8 挨
E68CAA 挪
E68CAB 挫
E68CAF 振
E68CBA 挺
E68CBD 挽
E68D82 捂
E68D85 捅
E68D86 捆
E68D89 捉
E68D8C 捌
E68D8D 捍
E68D8E 捎
E68D8F 捏
E68D90 捐
E68D95 捕
E68D9E 捞
E68D9F 损
E68DA1 捡
E68DA2 换
E68DA3 捣
E68DA7 捧
E68DAE 据
E68DB6 捶
E68DB7 捷
E68DBA 捺
E68DBB 捻
E68E80 掀
E68E82 掂
E68E87 掇
E68E88 授
E68E89 掉
E68E8C 掌
E68E8F 掏
E68E90 掐
E68E92 排
E68E96 掖
E68E98 掘
E68EA0 掠
E68EA2 探
E68EA3 掣
E68EA5 接
E68EA7 控
E68EA8 推
E68EA9 掩
E68EAA 措
E68EB0 掰
E68EB3 掳
E68EB7 掷
E68EB8 掸
E68EBA 掺
E68F89 揉
E68F8D 揍
E68F8F 描
E68F90 提
E68F92 插
E68F96 揖
E68FA1 握
E68FA3 揣
E68FA9 揩
E68FAA 揪
E68FAD 揭
E68FB4 援
E68FBD 揽
E69080 搀
E69081 搁
E69082 搂
E69085 搅
E6908F 搏
E69090 搐
E69093 搓
E69094 搔
E6909C 搜
E6909E 搞
E690AA 搪
E690AC 搬
E690AD 搭
E690BA 携
E690BD 搽
E69184 摄
E69186 摆
E69187 摇
E69188 摈
E6918A 摊
E69194 摔
E69198 摘
E691A7 摧
E691A9 摩
E691B8 摸
E691B9 摹
E69282 撂
E69285 撅
E69287 撇
E69291 撑
E69292 撒
E69295 撕
E6929E 撞
E692A4 撤
E692A9 撩
E692AC 撬
E692AD 播
E692AE 撮
E692B0 撰
E692B5 撵
E692BC 撼
E69382 擂
E69385 擅
E6938D 操
E6938E 擎
E69392 擒
E6939E 擞
E693A6 擦
E69480 攀
E69492 攒
E69498 攘
E694AB 攫
E694AF 支
E694B6 收
E694B9 改
E694BB 攻
E694BE 放
E694BF 政
E69585 故
E69588 效
E6958C 敌
E6958F 敏
E69591 救
E69596 敖
E69599 教
E6959B 敛
E6959D 敝
E6959E 敞
E695A2 敢
E695A3 散
E695A6 敦
E695AC 敬
E695B0 数
E695B2 敲
E695B4 整
E695B7 敷
E69687 文
E6968B 斋
E6968C 斌
E69691 斑
E69697 斗
E69699 料
E6969C 斜
E6969F 斟
E696A1 斡
E696A4 斤
E696A5 斥
E696A7 斧
E696A9 斩
E696AD 断
E696AF 斯
E696B0 新
E696B9 方
E696BD 施
E69781 旁
E69785 旅
E6978B 旋
E6978F 族
E69797 旗
E697A0 无
E697A2 既
E697A5 日
E697A6 旦
E697A7 旧
E697A8 旨
E697A9 早
E697AC 旬
E697AD 旭
E697B1 旱
E697B6 时
E697B7 旷
E697BA 旺
E69882 昂
E69886 昆
E6988C 昌
E6988E 明
E6988F 昏
E69893 易
E69894 昔
E69899 昙
E6989F 星
E698A0 映
E698A5 春
E698A7 昧
E698A8 昨
E698AD 昭
E698AF 是
E698B5 昵
E698BC 昼
E698BE 显
E69983 晃
E6998B 晋
E6998C 晌
E69992 晒
E69993 晓
E69995 晕
E6999A 晚
E699A4 晤
E699A6 晦
E699A8 晨
E699AE 普
E699AF 景
E699B0 晰
E699B4 晴
E699B6 晶
E699BA 智
E699BE 晾
E69A82 暂
E69A87 暇
E69A91 暑
E69A96 暖
E69A97 暗
E69AAE 暮
E69AB4 暴
E69B99 曙
E69B9D 曝
E69BB0 曰
E69BB2 曲
E69BB3 曳
E69BB4 更
E69BB9 曹
E69BBC 曼
E69BBE 曾
E69BBF 替
E69C80 最
E69C88 月
E69C89 有
E69C8B 朋
E69C8D 服
E69C94 朔
E69C97 朗
E69C9B 望
E69C9D 朝
E69C9F 期
E69CA6 朦
E69CA8 木
E69CAA 未
E69CAB 末
E69CAC 本
E69CAD 札
E69CAF 术
E69CB1 朱
E69CB4 朴
E69CB5 朵
E69CBA 机
E69CBD 朽
E69D80 杀
E69D82 杂
E69D83 权
E69D86 杆
E69D88 杈
E69D89 杉
E69D8E 李
E69D8F 杏
E69D90 材
E69D91 村
E69D96 杖
E69D9C 杜
E69D9F 束
E69DA0 杠
E69DA1 条
E69DA5 来
E69DA8 杨
E69DAD 杭
E69DAF 杯
E69DB0 杰
E69DBE 松
E69DBF 板
E69E81 极
E69E84 构
E69E89 枉
E69E90 析
E69E95 枕
E69E97 林
E69E9A 枚
E69E9C 果
E69E9D 枝
E69EA2 枢
E69EA3 枣
E69EAA 枪
E69EAB 枫
E69EAF 枯
E69EB6 架
E69EB7 枷
E69F84 柄
E69F8F 柏
E69F90 某
E69F91 柑
E69F92 柒
E69F93 染
E69F94 柔
E69F9C 柜
E69FA0 柠
E69FA5 查
E69FAC 柬
E69FAF 柯
E69FB1 柱
E69FB3 柳
